Post,post,The act of authoring an object and then publishing it online.
experience,experience,"Indicates that the actor has experienced the object in some manner. Note that, depending on the specific object types used for both the actor and object, the meaning of this verb can overlap that of the ""consume"" and ""play"" verbs. For instance, a person might ""experience"" a movie; or ""play"" the movie; or ""consume"" the movie. The ""experience"" verb can be considered a more generic form of other more specific verbs as ""consume"", ""play"", ""watch"", ""listen"", and ""read"""
favorite,favorite,Indicates that the actor marked the object as an item of special interest.
find,find,Indicates that the actor has found the object.
flag-as-inappropriate,flag-as-inappropriate,"Indicates that the actor has flagged the object as being inappropriate for some reason. When using this verb, the ""context"" property can be used to provide additional detail about why the object has been flagged."
follow,follow,"Indicates that the actor began following the activity of the object. In most cases, the object will be a Person, but it can potentially be of any type that can sensibly generate activity. Processors MAY ignore (silently drop) successive identical ""follow"" activities."
give,give,Indicates that the actor is giving an object to the target. Examples include one person giving a badge object to another person. The object identifies the object being given. The target identifies the receiver.
host,host,"Indicates that the actor is hosting the object. As in hosting an event, or hosting a service."
ignore,ignore,"Indicates that the actor has ignored the object. For instance, this verb may be used when an actor has ignored a friend request, in which case the object may be the request-friend activity."
insert,insert,Indicates that the actor has inserted the object into the target.
install,install,"Indicates that the actor has installed the object, as in installing an application."
interact,interact,"Indicates that the actor has interacted with the object. For instance, when one person interacts with another."
invite,invite,"Indicates that the actor has invited the object, typically a person object, to join or participate in the object described by the target. The target could, for instance, be an event, group or a service."
join,join,"Indicates that the actor has become a member of the object. This specification only defines the meaning of this verb when its object is a group, though implementors SHOULD be prepared to handle other Object types a meaning MAY be provided by extension specifications. Processors MAY ignore (silently drop) successive identical ""join"" activities."
leave,leave,Indicates that the actor has left the object. For instance a Person leaving a Group or checking-out of a Place.
like,like,"Indicates that the actor marked the object as an item of special interest. The ""like"" verb is considered to be an alias of ""favorite"". The two verb are semantically identical."
listen,listen,"Indicates that the actor has listened to the object. This is typically only applicable for objects representing audio content, such as music, an audio-book, or a radio broadcast. The ""listen"" verb is a more specific form of the ""consume"", ""experience"" and ""play"" verbs."
lose,lose,"Indicates that the actor has lost the object. For instance, if a person loses a game."
make-friend,make-friend,"Indicates the creation of a friendship that is reciprocated by the object. Since this verb implies an activity on the part of its object, processors MUST NOT accept activities with this verb unless they are able to verify through some external means that there is in fact a reciprocated connection. For example, a processor may have received a guarantee from a particular publisher that the publisher will only use this Verb in cases where a reciprocal relationship exists."
open,open,"Indicates that the actor has opened the object. For instance, the object could represent a ticket being tracked in an issue management system."
play,play,"Indicates that the actor spent some time enjoying the object. For example, if the object is a video this indicates that the subject watched all or part of the video."
present,present,"Indicates that the actor has presented the object. For instance, when a person gives a presentation at a conference."
purchase,purchase,"Indicates that the actor has purchased the object. If a target is specified, in indicates the entity from which the object was purchased."
qualify,qualify,"Indicates that the actor has qualified for the object. If a target is specified, it indicates the context within which the qualification applies."
read,read,"Indicates that the actor read the object. This is typically only applicable for objects representing printed or written content, such as a book, a message or a comment. The ""read"" verb is a more specific form of the ""consume"", ""experience"" and ""play"" verbs."
receive,receive,Indicates that the actor is receiving an object. Examples include a person receiving a badge object. The object identifies the object being received.
reject,reject,Indicates that the actor has rejected the object.
remove,remove,Indicates that the actor has removed the object from the target.
remove-friend,remove-friend,Indicates that the actor has removed the object from the collection of friends.
replace,replace,Indicates that the actor has replaced the target with the object.
request,request,"Indicates that the actor has requested the object. If a target is specified, it indicates the entity from which the object is being requested."
request-friend,request-friend,Indicates the creation of a friendship that has not yet been reciprocated by the object.
resolve,resolve,"Indicates that the actor has resolved the object. For instance, the object could represent a ticket being tracked in an issue management system."
retract,retract,"Indicates that the actor has retracted the object. For instance, if an actor wishes to retract a previously published activity, the object would be the previously published activity that is being retracted."
return,return,"Indicates that the actor has returned the object. If a target is specified, it indicates the entity to which the object was returned."
rsvp-maybe,rsvp-maybe,"The ""possible RSVP"" verb indicates that the actor has made a possible RSVP for the object. This specification only defines the meaning of this verb when its object is an event, though implementors SHOULD be prepared to handle other object types as meaning MAY be provided by extension specifications. The use of this verb is only appropriate when the RSVP was created by an explicit action by the actor. It is not appropriate to use this verb when a user has been added as an attendee by an event organiser or administrator."
rsvp-no,rsvp-no,"The ""negative RSVP"" verb indicates that the actor has made a negative RSVP for the object. This specification only defines the meaning of this verb when its object is an event, though implementors SHOULD be prepared to handle other object types as meaning MAY be provided by extension specifications. The use of this verb is only appropriate when the RSVP was created by an explicit action by the actor. It is not appropriate to use this verb when a user has been added as an attendee by an event organiser or administrator."
rsvp-yes,rsvp-yes,"The ""positive RSVP"" verb indicates that the actor has made a positive RSVP for an object. This specification only defines the meaning of this verb when its object is an event, though implementors SHOULD be prepared to handle other object types as meaning MAY be provided by extension specifications. The use of this verb is only appropriate when the RSVP was created by an explicit action by the actor. It is not appropriate to use this verb when a user has been added as an attendee by an event organiser or administrator."
satisfy,satisfy,"Indicates that the actor has satisfied the object. If a target is specified, it indicate the context within which the object was satisfied. For instance, if a person satisfies the requirements for a particular challenge, the person is the actor; the requirement is the object; and the challenge is the target."
save,save,"Indicates that the actor has called out the object as being of interest primarily to him- or herself. Though this action MAY be shared publicly, the implication is that the object has been saved primarily for the actor's own benefit rather than to show it to others as would be indicated by the ""share"" verb."
schedule,schedule,"Indicates that the actor has scheduled the object. For instance, scheduling a meeting."
search,search,"Indicates that the actor is or has searched for the object. If a target is specified, it indicates the context within which the search is or has been conducted."
sell,sell,"Indicates that the actor has sold the object. If a target is specified, it indicates the entity to which the object was sold."
send,send,"Indicates that the actor has sent the object. If a target is specified, it indicates the entity to which the object was sent."
share,share,"Indicates that the actor has called out the object to readers. In most cases, the actor did not create the object being shared, but is instead drawing attention to it."
sponsor,sponsor,"Indicates that the actor has sponsored the object. If a target is specified, it indicates the context within which the sponsorship is offered. For instance, a company can sponsor an event; or an individual can sponsor a project; etc."
start,start,"Indicates that the actor has started the object. For instance, when a person starts a project."
stop-following,stop-following,Indicates that the actor has stopped following the object.
submit,submit,"Indicates that the actor has submitted the object. If a target is specified, it indicates the entity to which the object was submitted."
tag,tag,"Indicates that the actor has identified the presence of a target inside another object. For example, the actor may have specified that a particular user appears in a photo. The target of the ""tag"" verb gives the object in which the tag has been added. For example, if a user appears in a photo, the object is the user and the target is the photo."
terminate,terminate,Indicates that the actor has terminated the object.
tie,tie,"Indicates that the actor has neither won or lost the object. This verb is generally only applicable when the object represents some form of competition, such as a game."
unfavorite,unfavorite,Indicates that the actor has removed the object from the collection of favorited items.
unlike,unlike,Indicates that the actor has removed the object from the collection of liked items.
unsatisfy,unsatisfy,"Indicates that the actor has not satisfied the object. If a target is specified, it indicates the context within which the object was not satisfied. For instance, if a person fails to satisfy the requirements of some particular challenge, the person is the actor; the requirement is the object and the challenge is the target."
unsave,unsave,Indicates that the actor has removed the object from the collection of saved items.
unshare,unsahre,"Indicates that the actor is no longer sharing the object. If a target is specified, it indicates the entity with whom the object is no longer being shared."
update,update,"The ""update"" verb indicates that the actor has modified the object. Implementors SHOULD use verbs such as ""post"" where the actor is adding new items to a collection or similar. Update is reserved for modifications to existing object or data such as changing a user's profile information."
use,use,Indicates that the actor has used the object in some manner.
watch,watch,"Indicates that the actor has watched the object. This verb is typically applicable only when the object represents dynamic, visible content such as a movie, a television show or a public performance. This verb is a more specific form of the verbs ""experience"", ""play"" and ""consume""."
win,win,"Indicates that the actor has won the object. This verb is typically applicable only when the object represents some form of competition, such as a game."
Activity,activity,An object representation of an activity.
Alert,alert,Any kind of significant notification.
Application,application,A software application
Article,article,"An article, such as a news article, knowledge base entry or similar construct"
Audio,audio,An item of audio content
Badge,badge,A badge or award given to an entity
Binary,binary,"Objects of this type are used to carry arbirary Base64-encoded binary data within an Activity Stream object. It is primarily intended to attach binary data to other types of objects through the use of the ""attachments"" property."
Bookmark,bookmark,A pointer to a URL
Collection,collection,A generic collection of objects of any type.
Comment,comment,A textual response to another object
Device,device,A device of any time
Event,event,An event that occurs in a certain place during a particular interval of time
File,file,A document or other file with no additional machine-readable semantics
Game,game,A game or competition of any kind
Group,group,A social networking group
Image,image,A graphical image
Issue,issue,"Represents a report about a problem or situation that needs to be resolved. For instance, the issue object can be used to represent reports detailing software defects, or reports of acceptable use violations, and so forth."
Job,job,A job or job posting.
Link,link,A link to another resource
Note,note,A short-form text message
Offer,offer,An offer of any kind
Organization,organization,An organization of any kind
Page,page,"Represents an area, typically a web page, that is representative of, and generally managed by a particular entity. Such areas are usually dedicated to displaying descriptive information about the entity and showcasing recent content such as articles, photographs and videos. Most social networking applications, for example, provide individual users with their own dedicated ""profile"" pages. Several allow similar types of pages to be created for commercial entities, organizations or events. While the specific details of how pages are implemented, their characteristics and use may vary, the one unifying property is that they are typically ""owned"" by a single entity that is represented by the content provided by the page itself."
Person,person,A user account
Place,place,A location on Earth.
Process,process,"Represents any form of process. For instance, a long-running task that is started and expected to continue operating for a period of time."
Product,product,A commercial good or service
Question,question,A question or poll
Review,review,A primarily prosed-based commentary on another object
Service,service,Something that provides a service to others
Task,task,An activity that has yet to be completed.
Video,video,An item of video content
Alias,alias,A local alias for an object
Attachments,attachments,"A collection of one or more additional, associated objects, similar to the concept of attached files in an email message."
Attended By,attendedBy,Used to provide information about the collection of entities that attended an event
Attending,attending,Used to provide information about the collection of actors that have responded to an event using the rsvp-yes verb.
Author,author,An Object that describes the entity that created or authored the object. Note that the author field identifies the entity that created the object and does not necessarily identify the entity that published the object.
Content,content,Natural-language description of the object encoded as a single JSON String containing HTML markup.
Display Name,displayName,"A natural-language, human-readable and plain-text name for the object. HTML markup MUST NOT be included."
Downstream Duplicates,downstreamDuplicates,A JSON Array of one or more absolute IRIs identifying objects that duplicate this object's content.
Dublin Core,dc,Dublin Core Metadata related to the object (http://dublincore.org)
End-Time,endTime,A timestamp indicating the date and time at which the object ended.
Followers,followers,"Used to provide information about the collection of objects (typically person objects) that are ""following"" the containing object."
Following,following,"Used to provide information about the collection of objects that this object is ""following""."
Friend Requests,friend-requests,"Used to provide information about the collection of objects with which a ""friendship"" relationship is being requested using the request-friend verb. This property will typically only be relevant for the person object type."
Friends,friends,"Used to provide information about the collection of objects with which a ""friendship"" relationship has been established using the make-friend verb. This property will typically only be relevant for the person object type."
GeoJSON,geojson,GeoJSON Metadata related to the object (http://www.geojson.org/geojson-spec.html)
ID,id,An absolute URI that uniquely identifies the object.
Image,image,"A Media Link that describes a resource providing a visual representation of the object, intended for human consumption."
Invited,invited,"Used to provide information about the collection of entities that have been invited to an event, or possibly invited to join a group, etc."
Likes,likes,Used to provide information about the actors (typically person objects) that have favorited or liked the containing object.
Linked Data for JSON,ld,JSON-LD Metadata related to the object (http://json-ld.org)
Links,links,Links associated with the object
Location,location,An object construct representing the location at which the activity occured.
Maybe Attending,maybeAttending,Used to provide information about the collection of actors that have responded to an event using the rsvp-maybe verb.
Members,members,"Used to provide information about the actors (typically person objects) that have ""joined"" the containing object. This is typically only useful for object types that represent groups."
Mood,mood,A human-readable keyword or short phrase describing the mood of the actor at the time the activity was performed.
Not Attended By,notAttendedBy,Used to provide information about the collection of entities that did not attend an event
Not Attending,notAttending,Used to provide information about the collection of actors that have responded to an event using the rsvp-no verb.
OData,odata,OData Metadata related to the object (http://www.odata.org)
Object Type,objectType,Identifies the type of object.
OpenGraph,opengraph,OpenGraph Metadata related to the object (http://developers.facebook.com/docs/opengraph)
Published,published,The date and time at which the object was published.
Rating,rating,A rating given as a number between 1.0 and 5.0 inclusive with one decimal place of precision.
Replies,replies,"Used to provide information about the thread of discussion associated with a given object. Typically, the objects contained will have an implied inReplyTo property value equal to the object containing the replies property."
Reviews,reviews,Used to provide information about reviews available for the containing object.
Saves,saves,"Used to provide information about the actors (typically person objects) that have ""saved"" the containing object."
Schema.org,schema_org,Schema.org Metadata related to the object (http://schema.org)
Shares,shares,"Used to provide information about the actors (typically person objects) that have ""shared"" the containing object."
Source,source,A reference to the original source of an object or activity.
Start-Time,startTime,A timestamp indicating the date and time at which the object was started.
Summary,summary,Natural-language summarization of the object encoded as a single JSON String containing HTML markup.
Tags,tags,A listing of the objects that have been associated with a particular object using the tag verb.
URL,url,An IRI identifying a resource providing an HTML representation of the object.
Updated,updated,The date and time at which the object was modified.
Upstream Duplicates,upstreamDuplicates,A JSON Array of one or more absolute IRIs identifying objects that duplicate this object's content.
